Species,Abbreviations,Period,Group,Period2,Period3,Order,Order2,Group2,Age2,Diet,FAD_Ma,LAD_Ma,Body_mass_mg,Body_mass_g,Brain_volume_cm3,Brain_volume_mm3,Olfactory_bulbs_mm3,Neocortex_surface_mm2,Brain_surface_mm2,OB_percentage,Neorcortex_surface_percentage,Collection number,Status,NALMA/SALMA/ELMA/ALMA
Hyaenodon_horridus,Hy_ho,Eocene,Eocene archaic taxa,late Eocene-early Oligocene,late Eocene,Creodonta,Creodonta,Eocene archaic taxa,late Eocene,Omnivorous-Carnivorous,39.8,29.7,34357400,34357.4,85,85000,7000,NA,NA,8.235294118,NA,AMNH 94760; FMNH 12723; PU 10043,literature,Duchesnean-Whitneyan
Sinopa_lania,Si_la,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Creodonta,Creodonta,Eocene archaic taxa,middle Eocene,Omnivorous-Carnivorous,50.05,47.9,4188520,4188.52,11.6036,11603.6,501.146,893.27,4560.47,4.318883795,19.58723553,AMNH 13142,segmented,late Bridgerian Br1b-Br3
Prohesperocyon_wilsoni,Pr_wi,Eocene,Eocene crown clades,late Eocene,late Eocene,Carnivora,Carnivora,Eocene crown clades,late Eocene,Omnivorous-Carnivorous,37.8,36.2,30042690,30042.69,127.632,127632,4507.67,6308.2,17621,3.531771029,35.79933034,TMM 40504-126,segmented,Chadronian Ch1
Dinictis_felina,Di_fe,Eocene,Eocene crown clades,late Eocene,late Eocene,Carnivora,Carnivora,Eocene crown clades,late Eocene,Omnivorous-Carnivorous,35.2,33.9,16140020,16140.02,77.0952,77095.2,2683,5045.6,12460.7,3.480112899,40.49210718,AMNH 455,segmented,Chadronian Ch3
Miacis_sylvestris,Mi_sy,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Carnivoramorpha,Carnivoramorpha,Eocene archaic taxa,middle Eocene,Omnivorous-Carnivorous,49.25,47.9,1156670,1156.67,8.44566,8445.66,321.04,951.488,4202.62,3.801242295,22.64035292,AMNH 129284,segmented,Bridgerian Br2-Br3
Oodectes_herpestoides,Oo_he,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Carnivoramorpha,Carnivoramorpha,Eocene archaic taxa,middle Eocene,Omnivorous-Carnivorous,49.25,48.6,1172230,1172.23,7.6444,7644.4,378.898,708.3,2845.9,4.956543352,24.888436,AMNH 140008,segmented,Bridgerian Br2
Viverravus_minutus,Vi_mi,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Carnivoramorpha,Carnivoramorpha,Eocene archaic taxa,middle Eocene,Omnivorous-Carnivorous,49.25,48.6,313200,313.2,2.02899,2028.99,169.298,219.862,1374.83,8.343954381,15.99194082,AMNH 12621,segmented,Bridgerian Br2
Vulpavus_profectus,Vu_pr,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Carnivoramorpha,Carnivoramorpha,Eocene archaic taxa,middle Eocene,Omnivorous-Carnivorous,49.25,48.6,2573270,2573.27,12.066,12066,908.196,850.02,3987,7.526902039,21.31978932,AMNH 12626,segmented,Bridgerian Br2
Vulpavus_ovatus,Vu_ov,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Carnivoramorpha,Carnivoramorpha,Eocene archaic taxa,middle Eocene,Omnivorous-Carnivorous,52.1,49.25,3787570,3787.57,12.358,12358,1057.11,1069.42,4196.5,8.554054054,25.4836173,AMNH 11498,segmented,Bridgerian Br1
Anagale_gobiensis,An_go,Eocene,Eocene archaic taxa,late Eocene,late Eocene,Anagalidae,Anagalidae,Eocene archaic taxa,late Eocene,NA,39.9,37.2,931287.4534,931.2874534,7.79804,7798.04,557.78,420.24,3827.58,7.152823017,10.97926105,AMNH 26079,literature,Chadronian
Paramys_copei,Pa_co,Eocene,Eocene crown clades,early Eocene,early Eocene,Rodentia,Rodentia,Eocene crown clades,early Eocene,NA,53,52.1,1029890,1029.89,7.52665,7526.65,455.45,577.77,3378.48,6.051164861,17.10147759,AMNH 4756,literature,Wasatchian Wa7
Paramys_delicatus,Pa_de,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Rodentia,Rodentia,Eocene crown clades,middle Eocene,NA,49.25,48.6,2154490,2154.49,12.5654,12565.4,595.51,790.48,4864.86,4.739284066,16.2487718,AMNH 12506,literature,Bridgerian Br2
Pseudotomus_horribilis,Ps_ho,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Rodentia,Rodentia,Eocene crown clades,middle Eocene,NA,49.25,48.6,4850480,4850.48,15.1882,15188.2,808.92,1103.54,5842.8,5.325976745,18.88717738,USNM 17159,literature,Bridgerian Br2
Pseudotomus_oweni,Ps_ow,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Rodentia,Rodentia,Eocene crown clades,middle Eocene,NA,48.6,47.9,3665510,3665.51,12.063,12063,717.06,1087.42,4744.38,5.944292465,22.92017081,USNM 17161,literature,Bridgerian Br3
Pseudotomus_petersoni,Ps_pe,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Rodentia,Rodentia,Eocene crown clades,middle Eocene,NA,45.3,42.8,4386240,4386.24,17.0149,17014.9,704.34,1337.58,5843.7,4.139548278,22.88926536,AMNH 2018,literature,Uintan Ui2
Pseudotomus_hians,Ps_hi,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Rodentia,Rodentia,Eocene crown clades,middle Eocene,NA,49.25,48.6,2306480,2306.48,13.6791,13679.1,743.2,1123.12,4878.63,5.433105979,23.02121702,AMNH 5025,literature,Bridgerian Br2
